document_id,unique_id,pd_index,probleem_type,explicitheid,urgentie_type,causaliteitstype,framing_type,kernprobleem_ref,has_box_ids
17,Adviescollege_huis_en_hobbydierenlijst_001,15,deelprobleem,expliciet,structureel,mechanisch,cognitief,Adviescollege_huis_en_hobbydierenlijst_001-PD-02,True
18,Adviescollege_Nederlandse_Gebarentaal_001,0,kernprobleem,expliciet,structureel,mechanisch,normatief,,True
18,Adviescollege_Nederlandse_Gebarentaal_001,1,deelprobleem,expliciet,structureel,inadvertent,normatief,Adviescollege_Nederlandse_Gebarentaal_001-PD-01,True
19,Adviescollege_Nederlandse_Gebarentaal_002,0,kernprobleem,expliciet,structureel,mechanisch,normatief,,True
19,Adviescollege_Nederlandse_Gebarentaal_002,1,deelprobleem,expliciet,structureel,mechanisch,normatief,Adviescollege_Nederlandse_Gebarentaal_002-PD-01,True
19,Adviescollege_Nederlandse_Gebarentaal_002,2,deelprobleem,impliciet,structureel,mechanisch,normatief,Adviescollege_Nederlandse_Gebarentaal_002-PD-01,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,0,kernprobleem,expliciet,structureel,mechanisch,normatief,,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,1,deelprobleem,expliciet,structureel,inadvertent,normatief,Adviescollege_Openbaarheid_en_Informatiehuishouding_015-PD-01,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,2,deelprobleem,expliciet,structureel,mechanisch,normatief,Adviescollege_Openbaarheid_en_Informatiehuishouding_015-PD-01,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,3,deelprobleem,expliciet,structureel,inadvertent,normatief,Adviescollege_Openbaarheid_en_Informatiehuishouding_015-PD-01,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,4,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_015-PD-01,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,5,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_015-PD-01,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,6,deelprobleem,expliciet,structureel,mechanisch,normatief,Adviescollege_Openbaarheid_en_Informatiehuishouding_015-PD-01,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,7,deelprobleem,expliciet,structureel,mechanisch,normatief,Adviescollege_Openbaarheid_en_Informatiehuishouding_015-PD-01,True
34,Adviescollege_Openbaarheid_en_Informatiehuishouding_015,8,deelprobleem,expliciet,structureel,mechanisch,normatief,Adviescollege_Openbaarheid_en_Informatiehuishouding_015-PD-01,True
47,Adviescollege_Openbaarheid_en_Informatiehuishouding_028,0,kernprobleem,expliciet,structureel,mechanisch,instrumenteel,,True
47,Adviescollege_Openbaarheid_en_Informatiehuishouding_028,1,deelprobleem,expliciet,structureel,inadvertent,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_028-PD-01,True
47,Adviescollege_Openbaarheid_en_Informatiehuishouding_028,2,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_028-PD-01,True
47,Adviescollege_Openbaarheid_en_Informatiehuishouding_028,3,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_028-PD-01,True
47,Adviescollege_Openbaarheid_en_Informatiehuishouding_028,4,deelprobleem,impliciet,toekomstig,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_028-PD-01,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,0,kernprobleem,expliciet,structureel,mechanisch,instrumenteel,,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,1,kernprobleem,expliciet,structureel,mechanisch,instrumenteel,,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,2,kernprobleem,expliciet,structureel,mechanisch,instrumenteel,,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,3,kernprobleem,expliciet,structureel,mechanisch,instrumenteel,,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,4,kernprobleem,expliciet,acuut,mechanisch,instrumenteel,,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,5,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_077-PD-02,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,6,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_077-PD-02,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,7,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_077-PD-03,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,8,deelprobleem,impliciet,structureel,mechanisch,cognitief,Adviescollege_Openbaarheid_en_Informatiehuishouding_077-PD-01,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,9,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_077-PD-04,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,10,deelprobleem,expliciet,toekomstig,inadvertent,normatief,Adviescollege_Openbaarheid_en_Informatiehuishouding_077-PD-04,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,11,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_077-PD-02,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,12,deelprobleem,impliciet,structureel,onbekend,cognitief,Adviescollege_Openbaarheid_en_Informatiehuishouding_077-PD-04,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,13,deelprobleem,impliciet,structureel,mechanisch,normatief,Adviescollege_Openbaarheid_en_Informatiehuishouding_077-PD-04,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,14,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_077-PD-05,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,15,deelprobleem,impliciet,acuut,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_077-PD-05,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,0,kernprobleem,expliciet,structureel,inadvertent,instrumenteel,,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,1,kernprobleem,expliciet,structureel,inadvertent,instrumenteel,,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,2,deelprobleem,expliciet,structureel,inadvertent,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_186-PD-01,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,3,deelprobleem,expliciet,structureel,inadvertent,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_186-PD-01,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,4,deelprobleem,expliciet,structureel,inadvertent,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_186-PD-01,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,5,deelprobleem,expliciet,structureel,inadvertent,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_186-PD-01,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,6,deelprobleem,expliciet,structureel,inadvertent,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_186-PD-01,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,7,deelprobleem,expliciet,structureel,inadvertent,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_186-PD-01,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,8,deelprobleem,expliciet,structureel,inadvertent,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_186-PD-01,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,9,deelprobleem,expliciet,structureel,inadvertent,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_186-PD-01,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,10,deelprobleem,expliciet,structureel,inadvertent,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_186-PD-01,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,11,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_186-PD-01,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,12,deelprobleem,expliciet,structureel,inadvertent,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_186-PD-01,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,13,deelprobleem,expliciet,structureel,inadvertent,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_186-PD-01,True
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,0,kernprobleem,expliciet,structureel,inadvertent,normatief,,True
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,1,kernprobleem,expliciet,structureel,inadvertent,normatief,,True
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,2,deelprobleem,impliciet,structureel,inadvertent,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_200-PD-02,True
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,3,deelprobleem,expliciet,structureel,mechanisch,normatief,Adviescollege_Openbaarheid_en_Informatiehuishouding_200-PD-01,True
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,4,deelprobleem,expliciet,structureel,mechanisch,normatief,Adviescollege_Openbaarheid_en_Informatiehuishouding_200-PD-02,True
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,5,deelprobleem,impliciet,structureel,onbekend,cognitief,Adviescollege_Openbaarheid_en_Informatiehuishouding_200-PD-01,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,0,kernprobleem,impliciet,structureel,mechanisch,instrumenteel,,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,1,kernprobleem,expliciet,structureel,mechanisch,normatief,,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,2,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_219-PD-01,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,3,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_219-PD-01,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,4,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_219-PD-02,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,5,deelprobleem,impliciet,structureel,onbekend,cognitief,Adviescollege_Openbaarheid_en_Informatiehuishouding_219-PD-02,True
264,Adviescollege_Openbaarheid_en_Informatiehuishouding_246,0,kernprobleem,expliciet,structureel,inadvertent,instrumenteel,,True
264,Adviescollege_Openbaarheid_en_Informatiehuishouding_246,1,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_246-PD-01,True
264,Adviescollege_Openbaarheid_en_Informatiehuishouding_246,2,deelprobleem,expliciet,structureel,inadvertent,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_246-PD-01,True
264,Adviescollege_Openbaarheid_en_Informatiehuishouding_246,3,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_246-PD-01,True
264,Adviescollege_Openbaarheid_en_Informatiehuishouding_246,4,deelprobleem,expliciet,acuut,inadvertent,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_246-PD-01,True
264,Adviescollege_Openbaarheid_en_Informatiehuishouding_246,5,deelprobleem,impliciet,structureel,inadvertent,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_246-PD-01,True
282,Adviescollege_Openbaarheid_en_Informatiehuishouding_264,0,kernprobleem,expliciet,structureel,mechanisch,instrumenteel,,True
282,Adviescollege_Openbaarheid_en_Informatiehuishouding_264,1,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_264-PD-01,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,0,kernprobleem,expliciet,structureel,mechanisch,instrumenteel,,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,1,kernprobleem,expliciet,structureel,mechanisch,instrumenteel,,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,2,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_320-PD-01,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,3,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_320-PD-02,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,4,deelprobleem,impliciet,structureel,mechanisch,cognitief,Adviescollege_Openbaarheid_en_Informatiehuishouding_320-PD-01,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,5,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_320-PD-01,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,6,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_320-PD-01,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,7,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_Openbaarheid_en_Informatiehuishouding_320-PD-02,True
388,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_002,0,kernprobleem,expliciet,structureel,mechanisch,normatief,,True
388,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_002,1,deelprobleem,expliciet,structureel,mechanisch,normatief,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_002-PD-01,True
388,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_002,2,deelprobleem,expliciet,structureel,mechanisch,normatief,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_002-PD-01,True
388,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_002,3,deelprobleem,expliciet,structureel,mechanisch,normatief,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_002-PD-01,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,0,kernprobleem,expliciet,structureel,mechanisch,normatief,,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,1,kernprobleem,expliciet,structureel,mechanisch,instrumenteel,,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,2,deelprobleem,expliciet,structureel,mechanisch,normatief,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003-PD-01,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,3,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003-PD-02,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,4,deelprobleem,expliciet,structureel,mechanisch,normatief,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003-PD-01,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,5,deelprobleem,expliciet,toekomstig,mechanisch,instrumenteel,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003-PD-01,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,6,deelprobleem,expliciet,structureel,inadvertent,normatief,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003-PD-02,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,7,deelprobleem,expliciet,structureel,mechanisch,normatief,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003-PD-02,True
537,Adviescollege_toetsing_regeldruk_118,0,kernprobleem,expliciet,structureel,mechanisch,instrumenteel,,True
537,Adviescollege_toetsing_regeldruk_118,1,kernprobleem,expliciet,structureel,mechanisch,instrumenteel,,True
537,Adviescollege_toetsing_regeldruk_118,2,kernprobleem,expliciet,structureel,mechanisch,instrumenteel,,True
537,Adviescollege_toetsing_regeldruk_118,3,deelprobleem,expliciet,structureel,inadvertent,instrumenteel,Adviescollege_toetsing_regeldruk_118-PD-01,True
537,Adviescollege_toetsing_regeldruk_118,4,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_118-PD-01,True
537,Adviescollege_toetsing_regeldruk_118,5,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_118-PD-01,True
537,Adviescollege_toetsing_regeldruk_118,6,deelprobleem,impliciet,structureel,mechanisch,cognitief,Adviescollege_toetsing_regeldruk_118-PD-01,True
537,Adviescollege_toetsing_regeldruk_118,7,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_118-PD-01,True
537,Adviescollege_toetsing_regeldruk_118,8,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_118-PD-02,True
537,Adviescollege_toetsing_regeldruk_118,9,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_118-PD-02,True
537,Adviescollege_toetsing_regeldruk_118,10,deelprobleem,impliciet,toekomstig,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_118-PD-02,True
537,Adviescollege_toetsing_regeldruk_118,11,deelprobleem,impliciet,structureel,mechanisch,normatief,Adviescollege_toetsing_regeldruk_118-PD-02,True
553,Adviescollege_toetsing_regeldruk_147,0,kernprobleem,expliciet,structureel,mechanisch,instrumenteel,,True
553,Adviescollege_toetsing_regeldruk_147,1,deelprobleem,impliciet,structureel,mechanisch,cognitief,Adviescollege_toetsing_regeldruk_147-PD-01,True
553,Adviescollege_toetsing_regeldruk_147,2,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_147-PD-01,True
553,Adviescollege_toetsing_regeldruk_147,3,deelprobleem,expliciet,acuut,mechanisch,normatief,Adviescollege_toetsing_regeldruk_147-PD-01,True
553,Adviescollege_toetsing_regeldruk_147,4,deelprobleem,impliciet,structureel,mechanisch,normatief,Adviescollege_toetsing_regeldruk_147-PD-01,True
553,Adviescollege_toetsing_regeldruk_147,5,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_147-PD-01,True
553,Adviescollege_toetsing_regeldruk_147,6,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_147-PD-01,True
553,Adviescollege_toetsing_regeldruk_147,7,deelprobleem,impliciet,structureel,mechanisch,cognitief,Adviescollege_toetsing_regeldruk_147-PD-01,True
553,Adviescollege_toetsing_regeldruk_147,8,deelprobleem,impliciet,toekomstig,mechanisch,cognitief,Adviescollege_toetsing_regeldruk_147-PD-01,True
553,Adviescollege_toetsing_regeldruk_147,9,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_147-PD-01,True
553,Adviescollege_toetsing_regeldruk_147,10,deelprobleem,impliciet,structureel,mechanisch,cognitief,Adviescollege_toetsing_regeldruk_147-PD-01,True
553,Adviescollege_toetsing_regeldruk_147,11,deelprobleem,expliciet,acuut,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_147-PD-01,True
553,Adviescollege_toetsing_regeldruk_147,12,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_147-PD-01,True
553,Adviescollege_toetsing_regeldruk_147,13,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_147-PD-01,True
553,Adviescollege_toetsing_regeldruk_147,14,deelprobleem,impliciet,toekomstig,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_147-PD-01,True
553,Adviescollege_toetsing_regeldruk_147,15,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_147-PD-01,True
553,Adviescollege_toetsing_regeldruk_147,16,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_147-PD-01,True
553,Adviescollege_toetsing_regeldruk_147,17,deelprobleem,impliciet,structureel,mechanisch,normatief,Adviescollege_toetsing_regeldruk_147-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,0,kernprobleem,expliciet,structureel,mechanisch,instrumenteel,,True
713,Adviescollege_toetsing_regeldruk_309,1,deelprobleem,expliciet,structureel,mechanisch,cognitief,Adviescollege_toetsing_regeldruk_309-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,2,deelprobleem,expliciet,structureel,mechanisch,cognitief,Adviescollege_toetsing_regeldruk_309-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,3,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_309-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,4,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_309-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,5,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_309-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,6,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_309-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,7,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_309-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,8,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_309-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,9,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_309-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,10,deelprobleem,impliciet,toekomstig,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_309-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,11,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_309-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,12,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_309-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,13,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_309-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,14,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_309-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,15,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_309-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,16,deelprobleem,expliciet,structureel,mechanisch,normatief,Adviescollege_toetsing_regeldruk_309-PD-01,True
713,Adviescollege_toetsing_regeldruk_309,17,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_toetsing_regeldruk_309-PD-01,True
1390,Adviescollege_Veiligheid_Groningen_008,0,kernprobleem,expliciet,structureel,mechanisch,cognitief,,True
1390,Adviescollege_Veiligheid_Groningen_008,1,kernprobleem,expliciet,structureel,mechanisch,cognitief,,True
1390,Adviescollege_Veiligheid_Groningen_008,2,kernprobleem,expliciet,structureel,mechanisch,cognitief,,True
1390,Adviescollege_Veiligheid_Groningen_008,3,deelprobleem,impliciet,structureel,mechanisch,cognitief,Adviescollege_Veiligheid_Groningen_008-PD-02,True
1390,Adviescollege_Veiligheid_Groningen_008,4,kernprobleem,expliciet,toekomstig,mechanisch,cognitief,,True
1390,Adviescollege_Veiligheid_Groningen_008,5,deelprobleem,expliciet,acuut,inadvertent,normatief,Adviescollege_Veiligheid_Groningen_008-PD-05,True
1405,Adviescollege_Veiligheid_Groningen_011,0,kernprobleem,impliciet,structureel,mechanisch,instrumenteel,,True
1405,Adviescollege_Veiligheid_Groningen_011,1,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_Veiligheid_Groningen_011-PD-01,True
1405,Adviescollege_Veiligheid_Groningen_011,2,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_Veiligheid_Groningen_011-PD-01,True
1405,Adviescollege_Veiligheid_Groningen_011,3,deelprobleem,expliciet,structureel,mechanisch,normatief,Adviescollege_Veiligheid_Groningen_011-PD-01,True
1405,Adviescollege_Veiligheid_Groningen_011,4,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_Veiligheid_Groningen_011-PD-01,True
1405,Adviescollege_Veiligheid_Groningen_011,5,deelprobleem,impliciet,structureel,mechanisch,instrumenteel,Adviescollege_Veiligheid_Groningen_011-PD-01,True
1405,Adviescollege_Veiligheid_Groningen_011,6,deelprobleem,expliciet,structureel,mechanisch,instrumenteel,Adviescollege_Veiligheid_Groningen_011-PD-01,True
