document_id,unique_id,aanbeveling_index,niveau,aard,object_advies,specificiteit,operationaliteit,beinvloedbaarheid,hall_orde,richting_interventie,has_box_ids
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,1,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,2,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,3,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,4,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,5,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,6,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,7,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,8,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,9,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,10,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,11,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,12,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,13,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,14,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,15,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,16,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,17,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,18,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,19,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,20,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,21,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,22,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,23,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
118,Adviescollege_Openbaarheid_en_Informatiehuishouding_077,24,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,0,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,1,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,2,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,3,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,4,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,5,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,6,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,7,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,8,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,9,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,10,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,11,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,12,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,13,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,14,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,15,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,16,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,17,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,18,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
220,Adviescollege_Openbaarheid_en_Informatiehuishouding_186,19,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,0,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,1,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,2,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,3,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,4,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,5,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,6,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,7,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,8,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
226,Adviescollege_Openbaarheid_en_Informatiehuishouding_200,9,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,0,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,1,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,2,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,3,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,4,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,5,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,6,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,7,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,8,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,9,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,10,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,11,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,12,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,13,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,14,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,15,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,16,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,17,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,18,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,19,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,20,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,21,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,22,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,23,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,24,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,25,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,26,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
248,Adviescollege_Openbaarheid_en_Informatiehuishouding_219,27,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
264,Adviescollege_Openbaarheid_en_Informatiehuishouding_246,0,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
264,Adviescollege_Openbaarheid_en_Informatiehuishouding_246,1,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
264,Adviescollege_Openbaarheid_en_Informatiehuishouding_246,2,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
264,Adviescollege_Openbaarheid_en_Informatiehuishouding_246,3,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
264,Adviescollege_Openbaarheid_en_Informatiehuishouding_246,4,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
264,Adviescollege_Openbaarheid_en_Informatiehuishouding_246,5,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
264,Adviescollege_Openbaarheid_en_Informatiehuishouding_246,6,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
264,Adviescollege_Openbaarheid_en_Informatiehuishouding_246,7,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
264,Adviescollege_Openbaarheid_en_Informatiehuishouding_246,8,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
282,Adviescollege_Openbaarheid_en_Informatiehuishouding_264,0,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
282,Adviescollege_Openbaarheid_en_Informatiehuishouding_264,1,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
282,Adviescollege_Openbaarheid_en_Informatiehuishouding_264,2,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
282,Adviescollege_Openbaarheid_en_Informatiehuishouding_264,3,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
282,Adviescollege_Openbaarheid_en_Informatiehuishouding_264,4,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,0,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,1,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,2,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,3,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,4,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,5,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,6,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,7,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,8,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,9,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,10,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
368,Adviescollege_Openbaarheid_en_Informatiehuishouding_320,11,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
388,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_002,0,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
388,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_002,1,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
388,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_002,2,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
388,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_002,3,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
388,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_002,4,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
388,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_002,5,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,0,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,1,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,2,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,3,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,4,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,5,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,6,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,7,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,8,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,9,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,10,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,11,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,12,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,13,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,14,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,15,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,16,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,17,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,18,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,19,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,20,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,21,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,22,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,23,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,24,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,25,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,26,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,27,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
390,Adviescollege_Rechtspositie_Politieke_Ambtsdragers_003,28,hoofd,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
537,Adviescollege_toetsing_regeldruk_118,0,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
537,Adviescollege_toetsing_regeldruk_118,1,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
537,Adviescollege_toetsing_regeldruk_118,2,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
537,Adviescollege_toetsing_regeldruk_118,3,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
537,Adviescollege_toetsing_regeldruk_118,4,sub,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,onbekend,True
