document_id,unique_id,college,jaar,n_woorden,is_co_advies,beleidsreikwijdte,operationaliteit_rapport,beinvloedbaarheid_rapport,veldconsultatie_niveau,scenarios_aanwezig,beleidsopties_aanwezig,orde_van_verandering,aanbevelingen_aantal,probleemdefinities_aantal,meta_gevraagd_ongevraagd,meta_advies_aanvrager,meta_aanbevelingen_aantal,meta_mede_ondertekenaars_n,n_consultaties,n_beleidsopties,n_betrokken_actoren,n_unieke_actoren
1493,Adviesraad_internationale_vraagstukken_065,Adviesraad internationale vraagstukken,2023,25244,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,9,7,GEVRAAGD,MINISTER,9,0,2,15,2,4
1499,Adviesraad_internationale_vraagstukken_070,Adviesraad internationale vraagstukken,2023,28221,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,8,26,GEVRAAGD,MINISTER,8,0,2,12,0,2
1507,Adviesraad_internationale_vraagstukken_084,Adviesraad internationale vraagstukken,2022,28625,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,9,6,GEVRAAGD,MINISTER,10,0,2,14,2,4
1511,Adviesraad_internationale_vraagstukken_096,Adviesraad internationale vraagstukken,2022,19754,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,8,11,GEVRAAGD,MINISTER,10,0,1,9,0,1
1521,Adviesraad_internationale_vraagstukken_102,Adviesraad internationale vraagstukken,2022,25360,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,26,18,GEVRAAGD,TWEEDE_KAMER,8,0,4,10,6,9
1524,Adviesraad_internationale_vraagstukken_103,Adviesraad internationale vraagstukken,2022,33583,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,10,15,GEVRAAGD,MINISTER,10,0,3,14,4,7
1534,Adviesraad_internationale_vraagstukken_112,Adviesraad internationale vraagstukken,2021,28805,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,23,20,GEVRAAGD,MINISTER,10,0,4,10,1,5
1550,Adviesraad_internationale_vraagstukken_123,Adviesraad internationale vraagstukken,2021,17658,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,22,3,GEVRAAGD,MINISTER,8,0,2,10,0,2
1560,Adviesraad_internationale_vraagstukken_145,Adviesraad internationale vraagstukken,2020,11118,False,sectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,13,7,GEVRAAGD,TWEEDE_KAMER,,0,0,0,2,2
1561,Adviesraad_internationale_vraagstukken_134,Adviesraad internationale vraagstukken,2020,28253,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,15,17,GEVRAAGD,MINISTER,10,0,2,10,2,4
1564,Adviesraad_internationale_vraagstukken_140,Adviesraad internationale vraagstukken,2020,28021,False,intersectoraal,gemiddeld,gemiddeld,beperkt,True,False,tweede_orde,40,25,GEVRAAGD,MINISTER,10,0,10,12,10,18
1568,Adviesraad_internationale_vraagstukken_151,Adviesraad internationale vraagstukken,2020,14364,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,29,11,GEVRAAGD,TWEEDE_KAMER,10,0,1,12,0,1
1571,Adviesraad_internationale_vraagstukken_153,Adviesraad internationale vraagstukken,2020,23280,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,10,15,GEVRAAGD,MINISTER,10,0,1,10,1,2
1574,Adviesraad_internationale_vraagstukken_152,Adviesraad internationale vraagstukken,2020,24658,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,12,20,GEVRAAGD,MINISTER,,0,2,9,9,11
1591,Adviesraad_internationale_vraagstukken_173,Adviesraad internationale vraagstukken,2019,30917,False,intersectoraal,hoog,gemiddeld,beperkt,False,False,tweede_orde,41,34,GEVRAAGD,MINISTER,,0,2,9,7,9
1592,Adviesraad_internationale_vraagstukken_176,Adviesraad internationale vraagstukken,2019,30612,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,26,5,GEVRAAGD,MINISTER,,0,2,9,16,18
1595,Adviesraad_internationale_vraagstukken_174,Adviesraad internationale vraagstukken,2019,53445,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,17,20,GEVRAAGD,MINISTER,10,0,1,7,3,4
1611,Adviesraad_internationale_vraagstukken_191,Adviesraad internationale vraagstukken,2019,54590,False,sectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,22,17,GEVRAAGD,MINISTER,,0,12,14,1,13
1612,Adviesraad_internationale_vraagstukken_190,Adviesraad internationale vraagstukken,2019,51381,False,sectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,32,16,GEVRAAGD,MINISTER,,0,5,14,3,8
1614,Adviesraad_internationale_vraagstukken_196,Adviesraad internationale vraagstukken,2018,29955,False,intersectoraal,gemiddeld,hoog,beperkt,False,True,tweede_orde,16,26,GEVRAAGD_PARLEMENT,TWEEDE_KAMER,16,0,2,11,2,4
1616,Adviesraad_internationale_vraagstukken_199,Adviesraad internationale vraagstukken,2018,24143,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,10,14,ONBEKEND,ONBEKEND,,0,4,6,5,9
1619,Adviesraad_internationale_vraagstukken_198,Adviesraad internationale vraagstukken,2018,32458,False,intersectoraal,gemiddeld,gemiddeld,onbekend,False,False,tweede_orde,36,12,GEVRAAGD_PARLEMENT,TWEEDE_KAMER,,0,2,19,2,4
1622,Adviesraad_internationale_vraagstukken_201,Adviesraad internationale vraagstukken,2018,19936,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,11,4,ONBEKEND,ONBEKEND,,0,3,6,3,6
1626,Adviesraad_internationale_vraagstukken_207,Adviesraad internationale vraagstukken,2017,32098,False,intersectoraal,gemiddeld,gemiddeld,onbekend,True,False,tweede_orde,41,8,GEVRAAGD,MINISTER,,0,2,21,2,4
1627,Adviesraad_internationale_vraagstukken_209,Adviesraad internationale vraagstukken,2017,31940,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,40,13,GEVRAAGD,MINISTER,,0,2,10,2,4
1629,Adviesraad_internationale_vraagstukken_211,Adviesraad internationale vraagstukken,2017,38380,False,intersectoraal,gemiddeld,gemiddeld,onbekend,False,False,tweede_orde,24,20,ONBEKEND,ONBEKEND,,0,0,19,2,2
1630,Adviesraad_internationale_vraagstukken_214,Adviesraad internationale vraagstukken,2017,30020,False,intersectoraal,gemiddeld,gemiddeld,beperkt,True,True,tweede_orde,39,24,GEVRAAGD,MINISTER,,0,1,18,2,3
1631,Adviesraad_internationale_vraagstukken_213,Adviesraad internationale vraagstukken,2017,39769,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,33,20,ONBEKEND,ONBEKEND,,0,0,0,0,0
1634,Adviesraad_internationale_vraagstukken_215,Adviesraad internationale vraagstukken,2017,28366,False,intersectoraal,hoog,gemiddeld,beperkt,True,False,tweede_orde,35,11,GEVRAAGD,MINISTER,,0,3,20,3,6
1642,Adviesraad_internationale_vraagstukken_219,Adviesraad internationale vraagstukken,2017,27998,False,intersectoraal,gemiddeld,gemiddeld,beperkt,True,True,tweede_orde,36,13,GEVRAAGD,MINISTER,,0,2,18,3,5
1660,Adviesraad_internationale_vraagstukken_239,Adviesraad internationale vraagstukken,2016,24595,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,14,8,GEVRAAGD,MINISTER,,0,2,20,4,6
1664,Adviesraad_internationale_vraagstukken_244,Adviesraad internationale vraagstukken,2016,26667,False,intersectoraal,gemiddeld,hoog,beperkt,False,False,tweede_orde,23,13,GEVRAAGD,MINISTER,23,0,2,10,3,5
1667,Adviesraad_internationale_vraagstukken_248,Adviesraad internationale vraagstukken,2016,28024,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,26,11,GEVRAAGD,MINISTER,,0,2,14,1,3
1669,Adviesraad_internationale_vraagstukken_253,Adviesraad internationale vraagstukken,2016,19548,False,intersectoraal,gemiddeld,gemiddeld,beperkt,True,False,tweede_orde,31,24,GEVRAAGD,MINISTER,,0,2,10,4,6
1670,Adviesraad_internationale_vraagstukken_252,Adviesraad internationale vraagstukken,2016,29462,False,intersectoraal,gemiddeld,gemiddeld,hoog,False,False,tweede_orde,29,37,GEVRAAGD,MINISTER,,0,10,18,13,17
1673,Adviesraad_internationale_vraagstukken_255,Adviesraad internationale vraagstukken,2016,22375,False,intersectoraal,gemiddeld,gemiddeld,hoog,False,False,tweede_orde,24,24,GEVRAAGD,MINISTER,,0,4,11,3,7
1674,Adviesraad_internationale_vraagstukken_254,Adviesraad internationale vraagstukken,2016,30415,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,21,14,GEVRAAGD,MINISTER,,0,10,26,5,8
1675,Adviesraad_internationale_vraagstukken_258,Adviesraad internationale vraagstukken,2015,28349,False,sectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,32,17,GEVRAAGD,MINISTER,,0,2,13,2,4
1676,Adviesraad_internationale_vraagstukken_260,Adviesraad internationale vraagstukken,2015,15688,False,intersectoraal,gemiddeld,gemiddeld,beperkt,True,False,tweede_orde,31,3,GEVRAAGD,MINISTER,,0,5,15,5,9
1677,Adviesraad_internationale_vraagstukken_259,Adviesraad internationale vraagstukken,2015,24179,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,True,tweede_orde,12,18,GEVRAAGD,MINISTER,,0,3,17,4,7
1682,Adviesraad_internationale_vraagstukken_263,Adviesraad internationale vraagstukken,2015,25998,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,19,16,GEVRAAGD,MINISTER,,0,5,15,3,8
1686,Adviesraad_internationale_vraagstukken_268,Adviesraad internationale vraagstukken,2015,22525,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,36,10,ONBEKEND,ONBEKEND,,0,3,15,1,4
1689,Adviesraad_internationale_vraagstukken_270,Adviesraad internationale vraagstukken,2015,23008,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,30,30,ONBEKEND,ONBEKEND,,0,10,15,3,7
1690,Adviesraad_internationale_vraagstukken_271,Adviesraad internationale vraagstukken,2015,25754,False,sectoraal,gemiddeld,gemiddeld,beperkt,False,True,tweede_orde,21,9,ONBEKEND,ONBEKEND,,0,4,10,3,7
1691,Adviesraad_internationale_vraagstukken_274,Adviesraad internationale vraagstukken,2015,26282,False,sectoraal,hoog,gemiddeld,beperkt,False,True,tweede_orde,23,11,ONBEKEND,ONBEKEND,,0,3,8,3,6
1695,Adviesraad_internationale_vraagstukken_280,Adviesraad internationale vraagstukken,2014,16121,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,16,4,GEVRAAGD,MINISTER,,0,7,18,4,10
1696,Adviesraad_internationale_vraagstukken_276,Adviesraad internationale vraagstukken,2014,40271,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,17,6,GEVRAAGD,MINISTER,11,0,3,13,3,6
1697,Adviesraad_internationale_vraagstukken_277,Adviesraad internationale vraagstukken,2014,42458,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,17,12,GEVRAAGD,MINISTER,11,0,2,18,1,3
1698,Adviesraad_internationale_vraagstukken_282,Adviesraad internationale vraagstukken,2014,16173,False,intersectoraal,hoog,gemiddeld,beperkt,False,False,tweede_orde,37,7,GEVRAAGD,MINISTER,,0,0,0,1,1
1700,Adviesraad_internationale_vraagstukken_281,Adviesraad internationale vraagstukken,2014,31042,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,29,6,GEVRAAGD,MINISTER,,0,7,22,3,10
1704,Adviesraad_internationale_vraagstukken_283,Adviesraad internationale vraagstukken,2014,30529,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,45,14,GEVRAAGD,MINISTER,,0,8,23,3,11
1706,Adviesraad_internationale_vraagstukken_289,Adviesraad internationale vraagstukken,2014,25095,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,21,14,GEVRAAGD,MINISTER,,0,4,14,19,22
1707,Adviesraad_internationale_vraagstukken_290,Adviesraad internationale vraagstukken,2014,28979,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,19,12,GEVRAAGD,MINISTER,,0,4,15,2,6
1708,Adviesraad_internationale_vraagstukken_291,Adviesraad internationale vraagstukken,2014,28010,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,32,18,GEVRAAGD,MINISTER,,0,1,18,5,6
1712,Adviesraad_internationale_vraagstukken_292,Adviesraad internationale vraagstukken,2014,30554,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,29,6,GEVRAAGD,MINISTER,,0,6,18,4,10
1713,Adviesraad_internationale_vraagstukken_297,Adviesraad internationale vraagstukken,2014,21127,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,18,18,GEVRAAGD,MINISTER,,0,0,8,10,10
1717,Adviesraad_internationale_vraagstukken_298,Adviesraad internationale vraagstukken,2014,21573,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,12,12,GEVRAAGD,MINISTER,,0,7,7,2,9
1721,Adviesraad_internationale_vraagstukken_300,Adviesraad internationale vraagstukken,2013,28414,False,intersectoraal,gemiddeld,gemiddeld,onbekend,False,False,tweede_orde,32,7,GEVRAAGD,MINISTER,,0,3,14,4,7
1726,Adviesraad_internationale_vraagstukken_303,Adviesraad internationale vraagstukken,2013,28893,False,intersectoraal,gemiddeld,gemiddeld,beperkt,True,False,tweede_orde,10,5,GEVRAAGD,MINISTER,,0,5,23,2,7
1727,Adviesraad_internationale_vraagstukken_312,Adviesraad internationale vraagstukken,2013,24794,False,sectoraal,gemiddeld,gemiddeld,beperkt,True,False,tweede_orde,21,22,GEVRAAGD,EERSTE_KAMER,,0,1,10,1,2
1728,Adviesraad_internationale_vraagstukken_308,Adviesraad internationale vraagstukken,2013,52744,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,27,7,GEVRAAGD,MINISTER,,0,1,20,2,3
1729,Adviesraad_internationale_vraagstukken_313,Adviesraad internationale vraagstukken,2013,24728,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,28,6,GEVRAAGD,EERSTE_KAMER,,0,1,8,2,3
1730,Adviesraad_internationale_vraagstukken_311,Adviesraad internationale vraagstukken,2013,54979,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,30,24,GEVRAAGD,MINISTER,,0,3,34,4,6
1731,Adviesraad_internationale_vraagstukken_315,Adviesraad internationale vraagstukken,2013,33371,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,20,5,GEVRAAGD,MINISTER,,0,2,8,4,6
1732,Adviesraad_internationale_vraagstukken_314,Adviesraad internationale vraagstukken,2013,33359,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,26,8,GEVRAAGD,MINISTER,,0,3,8,10,13
1733,Adviesraad_internationale_vraagstukken_316,Adviesraad internationale vraagstukken,2013,26046,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,18,7,GEVRAAGD,MINISTER,,0,3,32,3,6
1734,Adviesraad_internationale_vraagstukken_318,Adviesraad internationale vraagstukken,2012,18255,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,26,21,GEVRAAGD,MINISTER,,0,3,16,4,7
1737,Adviesraad_internationale_vraagstukken_320,Adviesraad internationale vraagstukken,2012,17445,False,intersectoraal,gemiddeld,gemiddeld,onbekend,False,False,tweede_orde,24,6,GEVRAAGD,MINISTER,,0,3,13,0,3
1742,Adviesraad_internationale_vraagstukken_324,Adviesraad internationale vraagstukken,2012,18511,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,13,15,GEVRAAGD,MINISTER,,0,3,15,6,9
1743,Adviesraad_internationale_vraagstukken_326,Adviesraad internationale vraagstukken,2012,15502,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,16,15,GEVRAAGD,MINISTER,,0,0,0,2,2
1750,Adviesraad_internationale_vraagstukken_329,Adviesraad internationale vraagstukken,2012,16153,False,intersectoraal,gemiddeld,gemiddeld,onbekend,False,False,tweede_orde,22,9,GEVRAAGD,MINISTER,,0,0,0,2,2
1753,Adviesraad_internationale_vraagstukken_336,Adviesraad internationale vraagstukken,2012,13688,False,sectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,7,2,GEVRAAGD,MINISTER,,0,1,3,3,4
1757,Adviesraad_internationale_vraagstukken_342,Adviesraad internationale vraagstukken,2011,20944,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,16,15,GEVRAAGD,MINISTER,,0,3,12,2,5
1758,Adviesraad_internationale_vraagstukken_341,Adviesraad internationale vraagstukken,2012,27900,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,38,3,GEVRAAGD,MINISTER,,0,4,16,2,6
1767,Adviesraad_internationale_vraagstukken_351,Adviesraad internationale vraagstukken,2011,12392,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,11,28,GEVRAAGD,MINISTER,11,0,3,9,0,3
1768,Adviesraad_internationale_vraagstukken_352,Adviesraad internationale vraagstukken,2011,12920,False,intersectoraal,gemiddeld,gemiddeld,onbekend,False,False,tweede_orde,23,2,GEVRAAGD,TWEEDE_KAMER,,0,2,9,0,2
1773,Adviesraad_internationale_vraagstukken_354,Adviesraad internationale vraagstukken,2011,13844,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,19,8,ONBEKEND,ONBEKEND,,0,10,36,3,12
1777,Adviesraad_internationale_vraagstukken_353,Adviesraad internationale vraagstukken,2011,38846,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,18,15,GEVRAAGD,MINISTER,,0,3,10,2,5
1778,Adviesraad_internationale_vraagstukken_350,Adviesraad internationale vraagstukken,2011,37772,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,34,17,GEVRAAGD,MINISTER,,0,4,5,2,6
1780,Adviesraad_internationale_vraagstukken_360,Adviesraad internationale vraagstukken,2011,40911,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,37,12,GEVRAAGD,MINISTER,,0,3,3,3,6
1782,Adviesraad_internationale_vraagstukken_358,Adviesraad internationale vraagstukken,2011,40498,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,20,5,GEVRAAGD,MINISTER,20,0,3,3,2,5
1783,Adviesraad_internationale_vraagstukken_363,Adviesraad internationale vraagstukken,2010,34229,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,14,14,GEVRAAGD,MINISTER,14,0,12,19,4,16
1784,Adviesraad_internationale_vraagstukken_370,Adviesraad internationale vraagstukken,2010,12411,False,intersectoraal,gemiddeld,hoog,beperkt,False,False,tweede_orde,28,21,ONBEKEND,ONBEKEND,,0,0,16,1,1
1789,Adviesraad_internationale_vraagstukken_373,Adviesraad internationale vraagstukken,2010,12656,True,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,18,10,ONBEKEND,ONBEKEND,,0,0,38,1,1
1792,Adviesraad_internationale_vraagstukken_367,Adviesraad internationale vraagstukken,2010,23143,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,32,13,GEVRAAGD,TWEEDE_KAMER,,0,10,17,5,14
1797,Adviesraad_internationale_vraagstukken_379,Adviesraad internationale vraagstukken,2010,19558,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,22,14,GEVRAAGD,MINISTER,,0,4,30,4,8
1800,Adviesraad_internationale_vraagstukken_381,Adviesraad internationale vraagstukken,2010,25575,False,intersectoraal,gemiddeld,gemiddeld,onbekend,False,False,tweede_orde,18,8,GEVRAAGD,MINISTER,,0,10,11,4,13
1802,Adviesraad_internationale_vraagstukken_372,Adviesraad internationale vraagstukken,2010,43527,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,37,5,ONBEKEND,ONBEKEND,,0,4,20,1,4
1808,Adviesraad_internationale_vraagstukken_386,Adviesraad internationale vraagstukken,2009,26113,False,intersectoraal,gemiddeld,gemiddeld,onbekend,False,False,tweede_orde,15,7,GEVRAAGD,MINISTER,,0,0,0,0,0
1811,Adviesraad_internationale_vraagstukken_401,Adviesraad internationale vraagstukken,2008,18743,False,intersectoraal,gemiddeld,gemiddeld,beperkt,False,False,tweede_orde,15,14,GEVRAAGD,MINISTER,15,0,3,7,4,7
