adviescollege_id,document_id,categorie,link_type,review_oordeel,title,college_name,rank,shortlisted,rerank_score,status
49,stcrt-2016-58657,eenmalig,canoniek,human_geaccepteerd,"Regeling van de Minister van Sociale Zaken en Werkgelegenheid, de Staatssecretaris van Onderwijs, Cultuur en Wetenschap en de Minister voor Wonen en Rijksdienst van 15 september 2016, 2016-0000210037, tot instelling van een Taskforce Samenwerking Onderwijs en Kinderopvang (Instellingsregeling Taskforce Samenwerking Onderwijs en Kinderopvang).",Taskforce Samenwerking Onderwijs en Kinderopvang,1,True,97.5,shortlisted
49,stcrt-2017-6240,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2017, 6240 - Taskforce Samenwerking Onderwijs en Kinderopvang",Taskforce Samenwerking Onderwijs en Kinderopvang,2,True,97.5,shortlisted
50,stcrt-2017-3684,eenmalig,canoniek,human_geaccepteerd,"Regeling van de Minister van Veiligheid en Justitie en de Minister voor Wonen en Rijksdienst van 6 januari 2017, nummer 2029595 houdende instelling van de taskforce lijkschouw en gerechtelijke sectie (Instellingsregeling taskforce lijkschouw en gerechtelijke sectie)",taskforce lijkschouw en gerechtelijke sectie,1,True,115.5,shortlisted
51,stcrt-2017-6895,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2017, 6895 - Staatscommissie parlementair stelsel",Staatscommissie parlementair stelsel,1,True,115.5,shortlisted
52,stcrt-2017-30719,eenmalig,canoniek,human_geaccepteerd,"Regeling van de Staatssecretaris van Economische Zaken en de Minister van Binnenlandse Zaken en Koninkrijksrelaties van 20 mei 2017, nr. WJZ/17066875, houdende instelling van de Commissie knelgevallen fosfaatrechten (Instellingsregeling Commissie knelgevallen fosfaatrechten)",Commissie knelgevallen fosfaatrechten,,False,,no_candidates_for_phase
53,stcrt-2017-24957,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2017, 24957 - Evaluatie- en adviescommissie Wet financiering politieke partijen",Evaluatie- en adviescommissie Wet financiering politieke partijen,1,True,103.5,shortlisted
54,stcrt-2019-9594,eenmalig,canoniek,human_geaccepteerd,Instellingsregeling Commissie herijking tarieven ambtshandelingen gerechtsdeurwaarders 2019,"Commissie herijking tarieven ambtshandelingen
gerechtsdeurwaarders 2019",1,True,115.5,shortlisted
55,stcrt-2018-11571,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Adviescommissie experiment gesloten coffeeshopketen,Adviescommissie experiment gesloten coffeeshopketen,,False,,no_candidates_for_phase
56,stcrt-2018-39464,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Commissie herziening wetgeving ambtsdelicten Kamerleden en bewindspersonen,Commissie herziening wetgeving ambtsdelicten Kamerleden en bewindspersonen,1,True,109.5,shortlisted
57,stcrt-2018-58299,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2018, 58299 - Onderzoekscommissie Langdurig verblijvende vreemdelingen zonder bestendig verblijfsrecht",Onderzoekscommissie Langdurig verblijvende vreemdelingen zonder bestendig verblijfsrecht,1,True,115.5,shortlisted
58,stcrt-2018-58771,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Adviescommissie bekostiging hoger onderwijs en onderzoek,Adviescommissie bekostiging hoger onderwijs en onderzoek,1,True,115.5,shortlisted
59,stcrt-2018-64352,eenmalig,canoniek,human_geaccepteerd,Instellingsregeling Commissie regulering van werk,Commissie regulering van werk,1,True,103.5,shortlisted
60,stcrt-2018-65546,eenmalig,canoniek,human_geaccepteerd,Instellingsbesluit Commissie Toekomst zorg thuiswonende ouderen,adviescommissie Toekomst zorg thuiswonende ouderen,1,True,90.0,shortlisted
61,stcrt-2018-73427,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Commissie kinderopvang en vaccinatie,Commissie kinderopvang en vaccinatie,1,True,97.5,shortlisted
62,stcrt-2019-105,eenmalig,canoniek,human_geaccepteerd,Instellingsbesluit Commissie Toekomst Accountancy,Commissie toekomst accountancysector,1,True,97.5,shortlisted
63,stcrt-2019-10955,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Commissie onderzoek faillissementen ziekenhuizen,Commissie onderzoek faillissementen ziekenhuizen,1,True,115.5,shortlisted
64,stcrt-2019-35929,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2019, 35929 - Vergemakkelijking Schadeverhaal Beroepsziekten",Commissie vergemakkelijking schadeafhandeling beroepsziekten,1,True,103.5,shortlisted
65,stcrt-2019-38951,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Commissie evaluatie Wet veiligheidsregio's,Commissie evaluatie Wet veiligheidsregio’s,1,True,115.5,shortlisted
66,stcrt-2019-40120,eenmalig,canoniek,human_geaccepteerd,Instellingsbesluit Adviescollege stikstofproblematiek,Adviescollege Stikstofproblematiek,,False,,no_candidates_for_phase
67,stcrt-2019-56982,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2019, 56982 - Taskforce infrastructuur klimaatakkoord industrie",Taskforce infrastructuur klimaatakkoord industrie,1,True,91.5,shortlisted
68,stcrt-2020-10878,eenmalig,canoniek,human_geaccepteerd,"Besluit van de Minister van Onderwijs, Cultuur en Wetenschap, de Minister voor Basis- en Voortgezet Onderwijs en Media en de Minister van Binnenlandse Zaken en Koninkrijksrelaties van 12 november 2019, nr. 16682587, houdende instelling van een commissie tot advisering inzake een nieuwe bevoegdhedenstructuur in het onderwijs (Instellingsbesluit Commissie onderwijsbevoegdheden)",Commissie onderwijsbevoegdheden,1,True,115.5,shortlisted
69,stcrt-2019-69748,eenmalig,canoniek,human_geaccepteerd,Instellingsbesluit Adviescollege Meten en Berekenen Stikstof,Adviescollege Meten en Berekenen Stikstof,1,True,103.5,shortlisted
70,stcrt-2020-14659,eenmalig,canoniek,ai_geaccepteerd,"Regeling van de Minister van Infrastructuur en Waterstaat en de Minister van Binnenlandse Zaken en Koninkrijksrelaties, van 6 maart 2020, nr. IENW/BSK-2020/9604, houdende instelling van de Adviescommissie geborgde zetels bij waterschapsbesturen (Regeling instelling Adviescommissie geborgde zetels bij waterschapsbesturen)","Adviescollege geborgde zetels bij
waterschapsbesturen",1,True,77.5,shortlisted
71,stb-2020-283,tijdelijk,canoniek,human_geaccepteerd,"Stb. 2020, 283 - Bestuurlijke Adviesraad Kinderopvangtoeslag",Bestuurlijke Adviesraad Kinderopvangtoeslag,1,True,91.5,shortlisted
72,stcrt-2020-19074,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Adviescollege verdeling frequentieruimte commerci?le radio,"Adviescollege verdeling frequentieruimte
commerciële radio",1,True,91.5,shortlisted
73,stcrt-2020-31232,eenmalig,canoniek,human_geaccepteerd,Regeling instelling adviescollege onderzoek stelsel schadevergoeding voor slachtoffers van strafbare feiten,"Adviescollege onderzoek stelsel schadevergoeding
voor slachtoffers van strafbare feiten",1,True,97.5,shortlisted
74,stcrt-2020-38358,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Adviescollege dialooggroep slavernijverleden,Adviescollege dialooggroep slavernijverleden,1,True,91.5,shortlisted
75,stcrt-2020-39689,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2020, 39689 - Curriculumcommissie",Curriculumcommissie,1,True,103.5,shortlisted
76,stcrt-2020-56082,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Adviescollege hand aan de kraan-principe Waddenzee,Adviescollege ‘hand aan de kraan’-principe Waddenzee,1,True,103.5,shortlisted
77,stcrt-2021-11844,eenmalig,canoniek,human_geaccepteerd,Instellingsbesluit Commissie doorstroomvennootschappen,Commissie doorstroomvennootschappen,1,True,85.5,shortlisted
78,stcrt-2021-25135,eenmalig,canoniek,human_geaccepteerd,Regeling instelling adviescollege toekomstbestendig stelsel bewaken en beveiligen,"Adviescollege toekomstbestendig stelsel bewaken en
beveiligen",1,True,103.5,shortlisted
80,stcrt-2022-11349,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2022, 11349 - Staatscommissie tegen Discriminatie en Racisme",staatscommissie tegen discriminatie en racisme,,False,,no_candidates_for_phase
81,stcrt-2022-19229,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Adviescommissie versterken weerbaarheid democratische rechtsorde,"Adviescommissie Versterken weerbaarheid democratische
rechtsorde",1,True,103.5,shortlisted
82,stcrt-2022-22818,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2022, 22818 - Staatscommissie Demografische ontwikkelingen 2050",Staatscommissie demografische ontwikkelingen 2050,1,True,97.5,shortlisted
83,stcrt-2022-26193,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Adviescollege toelatings- en verantwoordingscriteria landelijke publieke omroep,Adviescollege toelatings- en verantwoordingscriteria landelijke publieke omroep,1,True,91.5,shortlisted
84,stb-2022-423,tijdelijk,canoniek,human_geaccepteerd,"Stb. 2022, 423 - Wetenschappelijke Klimaatraad",Wetenschappelijke Klimaatraad - tijdelijk,1,True,82.0,shortlisted
85,stcrt-2022-31931,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2022, 31931 - Onafhankelijke commissie toekomst arbeidsongeschiktheidsstelsel (OCTAS)","Onafhankelĳke commissie toekomst
arbeidsongeschiktheidsstelsel (OCTAS)",1,True,43.5625,shortlisted
86,stcrt-2023-7635,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2023, 7635 - Staatscommissie Rechtsstaat",Staatscommissie Rechtsstaat,1,True,115.5,shortlisted
87,stcrt-2023-11158,eenmalig,canoniek,human_geaccepteerd,"Besluit van 24 maart 2023, nr. 2023000802, houdende de instelling van een Staatscommissie MDMA (Instellingsbesluit Staatscommissie MDMA)",Staatscommissie MDMA,1,True,91.5,shortlisted
88,stcrt-2005-98-p11-SC70064,eenmalig,canoniek,human_geaccepteerd,Regeling Commissie advocatuur,Commissie advocatuur,1,True,60.0,shortlisted
89,stcrt-2005-251-p15-SC73109,eenmalig,canoniek,human_geaccepteerd,Instellingsbesluit Nationale conventie,Nationale conventie,1,True,103.5,shortlisted
90,stcrt-2006-137-p10-SC75983,eenmalig,canoniek,human_geaccepteerd,Instellingsbesluit Commissie Evaluatie Awb III,Commissie Evaluatie Awb III,1,True,61.5,shortlisted
92,stcrt-2007-77-p8-SC80123,eenmalig,canoniek,human_geaccepteerd,Instellingsbesluit Adviescommissie inrichting verkiezingsproces,Adviescommissie inrichting verkiezingsproces,1,True,103.5,shortlisted
93,stcrt-2007-128-p17-SC81201,eenmalig,canoniek,human_geaccepteerd,Instellingsbesluit Commissie Uitdragen kernwaarden van de rechtsstaat,Commissie Uitdragen kernwaarden van de rechtsstaat,1,True,109.5,shortlisted
94,stcrt-2007-179-p18-SC82142,eenmalig,canoniek,human_geaccepteerd,Instellingsbesluit commissie duurzame kustontwikkeling,commissie duurzame kustontwikkeling,1,True,90.0,shortlisted
95,stcrt-2007-193-p6-SC82383,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Commissie lesbisch ouderschap en interlandelijke adoptie,Commissie lesbisch ouderschap en interlandelijke adoptie,1,True,90.826087,shortlisted
96,stcrt-2007-244-p9-SC83467,eenmalig,canoniek,human_geaccepteerd,Instellingsbesluit adviescommissie Veiligheid en persoonlijke levenssfeer,Adviescommissie ‘Veiligheid en persoonlijke levenssfeer’,1,True,103.5,shortlisted
97,stcrt-2008-31-p14-SC84507,eenmalig,canoniek,human_geaccepteerd,Regeling instelling commissie fundamentele herbezinning Wsw,commissie fundamentele herbezinning Wsw,1,True,97.5,shortlisted
98,stcrt-2008-69-p11-SC85219,eenmalig,canoniek,human_geaccepteerd,Instellingsregeling Taskforce (her)ontwikkeling bedrijventerreinen,Taskforce (her)ontwikkeling bedrijventerreinen,1,True,115.5,shortlisted
99,stcrt-2008-75-p8-SC85362,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2008, 75 - klankbordgroep Verkenningen naar de toekomst van de krijgsmacht",klankbordgroep ‘Verkenningen naar de toekomst van de krijgsmacht’,1,True,78.0,shortlisted
100,stcrt-2008-127-p12-SC86460,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Commissie medisch-wetenschappelijk onderzoek met minderjarigen,Commissie medisch-wetenschappelijk onderzoek met minderjarigen,1,True,90.945206,shortlisted
101,stcrt-2008-137-p8-SC86687,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2008, 137, p. 8 - tijdelijke adviescommissie beloning en rechtspositie ambtsdragers",tijdelijke adviescommissie beloning en rechtspositie politieke ambtsdragers,1,True,84.0,shortlisted
102,stcrt-2009-3175,eenmalig,canoniek,human_geaccepteerd,Instellingsbesluit Adviescommissie Drugsbeleid,Adviescommissie Drugsbeleid,1,True,91.5,shortlisted
103,stcrt-2009-10354,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2009, 10354 - staatscommissie voor de herziening van de Grondwet",staatscommissie voor de herziening van de Grondwet,1,True,109.5,shortlisted
106,stcrt-2012-13394,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2012, 13394 - Review Board Aanvalsprogramma Informatievoorziening Politie",Review Board Aanvalsprogramma Informatievoorziening Politie - eenmalig,1,True,82.0,shortlisted
107,stcrt-2013-4096,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2013, 4096 - Evaluatiecommissie Wet op de inlichtingen- en veiligheidsdiensten 2002",Evaluatiecommissie Wet op de inlichtingen- en veiligheidsdiensten 2002,1,True,85.5,shortlisted
108,stcrt-2013-12547,eenmalig,canoniek,human_geaccepteerd,Instellingsbesluit Commissie onderzoek elektronisch stemmen in het stemlokaal,Commissie onderzoek elektronisch stemmen in het stemlokaal,,False,,no_candidates_for_phase
110,stcrt-2013-29769,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2013, 29769 - Evaluatiecommissie Politiewet 2012",commissie Evaluatie Politiewet 2012,1,True,91.5,shortlisted
111,stcrt-2015-47139,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2015, 47139 - eenmalige commissie van deskundigen met betrekking tot de rechtseenheid in het bestuursrecht",eenmalige commissie van deskundigen met betrekking tot de rechtseenheid in het bestuursrecht,1,True,115.5,shortlisted
112,stcrt-2013-1260,tijdelijk,canoniek,human_geaccepteerd,"Stcrt. 2013, 1260 - Review Board Aanvalsprogramma Informatievoorziening Politie",Review Board Aanvalsprogramma Informatievoorziening Politie - tijdelijk,1,True,82.0,shortlisted
113,stb-2008-369,tijdelijk,canoniek,human_geaccepteerd,"Besluit van 18 augustus 2008, houdende instelling van de evaluatie- en adviescommissie passend onderwijs",Evaluatie- en adviescommissie Passend onderwijs,1,True,103.5,shortlisted
114,stb-2008-36,tijdelijk,canoniek,human_geaccepteerd,"Stb. 2008, 36 - Adviescollege burgerluchtvaart-veiligheid DEGAS",Adviescollege burgerluchtvaartveiligheid,1,True,88.5,shortlisted
115,stcrt-2012-19264,eenmalig,canoniek,human_geaccepteerd,"Regeling van de Minister van Binnenlandse Zaken en Koninkrijksrelaties van 11 september 2012, nr. 2012-0000525525 houdende instelling van de Commissie kaderstelling en toezicht woningcorporaties (Regeling instelling Commissie kaderstelling en toezicht woningcorporaties)",Commissie onderzoek kaderstelling en toezicht woningcorporaties,2,True,96.0,shortlisted
116,stcrt-2012-10848,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2012, 10848 - Evaluatiecommissie Wet veiligheidsregios en het stelsel van rampenbestrijding en crisisbeheersing",Evaluatiecommissie Wet veiligheidsregio’s en het stelsel van rampenbestrijding en crisisbeheersing,1,True,73.5,shortlisted
117,stcrt-2014-25436,eenmalig,canoniek,human_geaccepteerd,"Regeling van de Ministers van Volksgezondheid, Welzijn en Sport, van Veiligheid en Justitie en voor Wonen en Rijksdienst van 15 juli 2014, nr. 476661-122361-PG, houdende instelling van de Commissie van wijzen inzake hulp bij zelfdoding aan personen die hun leven voltooid achten (Instellingsregeling Commissie van wijzen inzake hulp bij zelfdoding aan mensen die hun leven voltooid achten)",Commissie van wijzen inzake hulp bij zelfdoding aan mensen die hun leven voltooid achten,1,True,115.5,shortlisted
118,stcrt-2015-4919,eenmalig,canoniek,human_geaccepteerd,"Regeling van de Staatssecretaris van Veiligheid en Justitie en de Minister voor Wonen en Rijksdienst van 13 februari 2015, nr. 616510, houdende instelling van de Commissie onderzoek oorzaken kostenstijgingen stelsel gesubsidieerde rechtsbijstand en vernieuwing van het stelsel",Commissie onderzoek oorzaken kostenstijgingen stelsel gesubsidieerde rechtsbijstand en vernieuwing van het stelsel,1,True,103.5,shortlisted
119,stcrt-2019-9594,eenmalig,canoniek,human_geaccepteerd,Instellingsregeling Commissie herijking tarieven ambtshandelingen gerechtsdeurwaarders 2019,Commissie herijking tarieven ambtshandelingen gerechtsdeurwaarders - III,3,True,78.28866,shortlisted
120,stcrt-2018-58299,eenmalig,canoniek,human_geaccepteerd,"Stcrt. 2018, 58299 - Onderzoekscommissie Langdurig verblijvende vreemdelingen zonder bestendig verblijfsrecht",Onderzoekscommissie Langdurig verblijvende vreemdelingen zonder bestendig verblijfsrecht,1,True,115.5,shortlisted
121,stcrt-2020-14659,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Adviescommissie geborgde zetels bij waterschapsbesturen,Adviescommissie geborgde zetels bij waterschapsbesturen,1,True,97.5,shortlisted
122,stcrt-2020-19074,eenmalig,canoniek,human_geaccepteerd,Regeling instelling Adviescollege verdeling frequentieruimte commerci?le radio,Adviescollege verdeling frequentieruimte commerciële radio,1,True,91.5,shortlisted
